Fist Last Nickname HT WT Reach Stance W L D Belt
Tom Aaron NA NA 155  NA NA 5 3 0 NA
Danny Abbadi The_Assassin 71 155  NA Orthodox 4 6 0 NA
David Abbott Tank 72 265  NA Switch 10 14 0 NA
Shamil Abdurakhimov Abrek 75 235  76.0 Orthodox 16 4 0 NA
Hiroyuki Abe Abe_Ani 66 145  NA Orthodox 8 14 3 NA
Papy Abedi Makambo 71 185  74.0 Southpaw 9 3 0 NA
Ricardo Abreu Demente 71 185  73.0 Orthodox 5 3 0 NA
Daniel Acacio NA 68 180  NA Orthodox 26 12 0 NA
Scott Adams NA 72 225  NA Southpaw 8 1 0 NA
Sam Adkins The_Experience 75 225  NA Orthodox 7 20 2 NA
Nick Agallar NA 68 155  NA Orthodox 24 6 0 NA
Marcelo Aguiar NA 70 170  NA Orthodox 2 3 1 NA
Edwin Aguilar Tigre 70 185  NA NA 22 16 0 NA
Jessica Aguilar Jag 63 115  63.0 Orthodox 19 5 0 NA
Mike Aina Iron 69 155  NA Orthodox 12 6 1 NA
Hitomi Akano Girlfight_Monster 64 135  NA Southpaw 18 8 0 NA
Omari Akhmedov Wolverine 72 170  73.0 Orthodox 16 4 0 NA
Yoshihiro Akiyama NA 70 170  73.0 Orthodox 14 6 0 NA
Razak Al-Hassan NA 74 205  NA Orthodox 11 5 0 NA
Mostapha Al-Turk NA 74 245  77.0 Orthodox 6 6 0 NA
Javi Alanis NA 66 135  NA NA 0 3 0 NA
Brett Albee NA NA 225  NA NA 3 1 0 NA
John Albert Prince 68 135  68.0 NA 7 5 0 NA
Wes Albritton NA 70 188  NA Orthodox 0 1 0 NA
Alexandra Albu Stitch 62 115  62.0 Orthodox 6 0 0 NA
Israel Albuquerque NA NA 185  NA Orthodox 0 3 0 NA
Juan Alcain NA NA NA NA NA 1 2 0 NA
Iuri Alcantara Marajo 69 135  71.0 Southpaw 33 7 0 NA
Ildemar Alcantara Marajo 74 185  78.0 Orthodox 21 8 0 NA
Alfonso Alcarez NA 63 145  NA NA 1 3 1 NA
Gilbert Aldana El_Peligro 73 250  NA Orthodox 6 2 0 NA
Irene Aldana NA 69 135  68.0 Orthodox 7 3 0 NA
Jose Aldo Junior 67 145  70.0 Orthodox 26 2 0 NA
JJ Aldrich NA 65 115  67.0 Southpaw 4 2 0 NA
Jim Alers The_Beast 69 145  71.0 Orthodox 13 3 0 NA
John Alessio The_Natural 70 155  72.0 Orthodox 34 16 0 NA
Houston Alexander The_Assassin 72 205  72.0 Orthodox 13 8 1 NA
Kenneth Alexander The_Machine 69 155  NA Orthodox 5 5 0 NA
Marcio Alexandre Junior Lyoto 72 170  75.0 Southpaw 13 3 0 NA
Olaf Alfonso NA 74 170  NA Orthodox 8 11 0 NA
Pablo Alfonso The_Hurricane 68 145  NA NA 6 5 0 NA
Levi Alford NA NA NA NA NA 1 4 0 NA
Royce Alger NA 70 199  NA Orthodox 3 2 0 NA
Sultan Aliev NA 71 170  74.0 Orthodox 14 2 0 NA
George Allen NA 74 205  NA Open Stance 13 19 2 NA
Arnold Allen Almighty 68 145  70.0 Southpaw 11 1 0 NA
Benny Alloway Blanco 71 170  75.0 Orthodox 13 6 0 NA
Ricardo Almeida Big_Dog 72 170  74.0 Orthodox 13 5 0 NA
Magno Almeida NA 72 155  NA NA 9 3 0 NA
Thomas Almeida Thominhas 67 135  70.0 Southpaw 22 1 0 NA
Ericka Almeida NA 66 115  68.0 NA 7 2 0 NA
Mauricio Alonso NA 74 185  NA NA 10 7 0 NA
Rico Altamirano NA 70 170  NA NA 3 2 0 NA
Mike Altman NA 70 185  NA Orthodox 1 4 0 NA
Sean Alvarez NA 72 235  NA Orthodox 4 3 0 NA
Eddie Alvarez The_Underground_King 69 155  69.0 Orthodox 28 5 0 NA
Thiago Alves Pitbull 69 170  70.0 Orthodox 26 11 0 NA
Anthony Alves NA NA NA NA NA 1 3 0 NA
Amilcar Alves NA 72 170  NA Southpaw 11 4 0 NA
Warlley Alves NA 71 170  72.0 Orthodox 11 2 0 NA
Sam Alvey Smile'N 74 185  75.0 Southpaw 29 8 0 NA
Andre Amado Dida 72 154  NA Orthodox 6 4 1 NA
Adlan Amagov Borz 74 170  76.0 Orthodox 13 2 1 NA
Chris Amarante NA NA 185  NA NA 2 0 0 NA
Jimmy Ambriz The_Titan 74 315  NA Southpaw 15 18 1 NA
JJ Ambrose NA 70 170  NA Orthodox 17 3 0 NA
Makwan Amirkhani Mr._Finland 70 145  72.0 Southpaw 13 2 0 NA
Bertrand Amoussou NA 68 190  NA Orthodox 1 1 0 NA
Karl Amoussou The_Psycho 71 185  NA Orthodox 12 4 2 NA
Matt Andersen NA 74 230  NA Southpaw 14 8 1 NA
Andy Anderson The_Hammer 66 240  NA NA 0 1 0 NA
Lowell Anderson NA 66 160  NA Orthodox 0 1 0 NA
Corey Anderson Overtime 75 205  79.0 NA 10 2 0 NA
Derek Anderson Barbaric 72 155  NA NA 13 2 0 NA
Alex Andrade El_Toro 71 200  NA Orthodox 10 5 0 NA
Jessica Andrade Bate_Estaca 61 115  62.0 Orthodox 15 5 0 NA
Viscardi Andrade NA 71 170  75.0 Orthodox 19 7 0 NA
Jermaine Andre NA 67 200  NA Orthodox 14 4 0 NA
